subject,alphas,beta_mb,beta_mf0,beta_mf1,beta_stick,beta_s2
3IJXV6UZ1XJVYFI7XSKXYLKE1T6RI8,0.521152,0.307128,0.193065,0.246526,-0.803918,1.80634
35K3O9HUABDMFKBCAEUCWH837FTEF3,0.192916,0.397008,0.0744931,0.383095,-1.04104,1.74134
3FPRZHYEPY781JH5L9IKVC7S3IB3V4,0.477948,0.239123,0.387897,0.586967,-0.538665,1.51335
3S96KQ6I9M4R6JFD93OH735JXWZTDZ,0.570124,0.490419,-0.0309507,1.38924,-0.344163,1.95536
354P56DE9K3AAA1OTQG5X6Z1AWXS7K,0.206327,-0.0123422,0.0795072,0.779389,-0.743697,0.835552
3VFJCI1K4ZZH2OCC74KUD97YNFXRGY,0.144983,0.74448,0.114475,0.394005,-0.219577,1.46472
3KWTYT087038JTSFLO47N07ARDO5LW,0.183057,1.52661,-0.00185706,0.183602,0.505206,1.80833
3LJ7UR74RHDGBAR0JW1CV05LWHJ4NS,0.592473,0.630376,0.0916999,-0.0496436,0.0258911,1.15983
3IHR8NYAM71GEV3DZBE4ZPAGWREP4T,0.115073,0.193755,-0.0800144,0.0700279,-0.386095,0.74738
36PW28KO4ZWRJTU4ZY8KIGXCAUQEAQ,0.279912,1.38971,0.209581,0.592603,-0.212952,1.66073
3DZQRBDBSLFS9R01REDFKPNL5BR3S4,0.377808,0.869919,0.862336,0.126658,-0.278679,2.46925
3IXEICO792JSLA0YZGG31XVRH466T3,0.490934,0.836203,0.465652,0.60399,-0.774887,1.8446
3VHP9MDGRNK7IMRYENOH6T80MY7CFP,0.532936,0.199346,0.304003,0.587697,-0.0960131,1.82186
3DYGAII7PL8N30QBX8LH2SBLRLLQP4,0.768751,0.436042,0.425324,0.418052,-1.22009,2.0966
3TUI152ZZBNKM879C6AR1WTNO5LQ16,0.0979006,-0.241361,0.0104726,0.68055,0.00945141,1.38932
35LDD5557A4V7UV3SN9SP25HOD0KMZ,0.516141,1.23515,0.269157,0.750107,-0.850937,2.23193
33L7PJKHCGYFPOJMSVD1LBRIMJM8TK,0.141988,-0.00942566,0.0320048,0.144784,1.01978,0.911347
3EFE17QCRC573Z706Z2HOJOVOLDHS3,0.193213,0.202894,0.189223,0.618659,-0.398522,0.922372
3U4J9857OEBBTOKMI4UA7HP16Q97BW,0.365155,0.653841,0.130124,0.0542104,0.0836698,2.19487
37M28K1J0QDZU9GWDZJBFWA4F2AAJV,0.251404,0.499641,-0.0597825,0.75941,-0.605779,1.49194
31Z0PCVWUKFBPAE3IQLV7BVNBSM7TO,0.419011,0.368801,0.207416,1.28084,0.0551565,2.30553
3QAVNHZ3EM45PZ4WGKVOVBNWJRKAL2,0.0608843,1.36506,-0.058499,-0.0377548,-0.394041,0.837503
35L9RVQFCOINICZ4V4XH3K6J9DWUHK,0.290751,0.218982,-0.0612162,-0.0143398,-0.822053,0.576803
3I2PTA7R3TUMS9TVKGG96BPMYSFQK2,0.480469,0.0807547,-0.192229,0.760231,-0.0999959,1.52652
34S6N1K2ZVJKZMCAMQ5GCXA0WM5HLF,0.493919,0.10619,0.284335,0.185858,0.0584293,1.1372
3N4BPTXIO8SEK20C1P0EGCMB1U8KUM,0.0909928,-0.463879,0.315209,1.1855,1.33589,1.1347
3WEV0KO0OMSQRJ2YK3JRXY9XWOFDSB,0.420257,0.537178,0.248085,0.268816,-0.327715,0.986375
3G0WWMR1UVKN0FEYHT8PY36QS45QNQ,0.345491,0.0673555,0.415813,1.01758,-0.470675,2.46299
3DYGAII7PL8N30QBX8LH2SBLSO2PQR,0.146068,0.403732,0.334001,-0.340691,-1.08833,1.22128
33FOTY3KEMLGS7XQ7O9WHR46KQF1C7,0.308921,-0.0636217,0.187749,0.234605,0.09019,1.02207
3OHYZ19UGC5DVK7TTCBGNSRQEWIAOC,0.296523,0.313141,0.245001,0.810125,0.390311,0.863639
3EICBYG644WNNODUXDF2LR0SE7WCJ3,0.15977,0.239149,0.170234,0.822701,0.711811,1.21062
3BV8HQ2ZZW1N6E1PTGPM6S5ZT1R6AW,0.211371,0.347824,0.173483,-0.0160605,-1.8562,0.66604
382M9COHEHFBY28253PBIH96HGBUED,0.236341,0.63875,0.117989,0.516588,-1.66366,1.53485
3TAYZSBPLL83O94INEZA1FITYZJ2SN,0.236688,0.251808,0.185948,1.0509,0.515164,1.87581
36TFCYNS44AFZGTZ0984NR5N3VAHXW,0.61045,0.225621,-0.141606,0.620924,0.00757539,2.41342
3E337GFOL98WNQKKEX3D4P2OLJ9GN1,0.425708,0.389227,0.0407539,1.45072,-0.0950802,1.62161
3WS1NTTKEYCNOUWI27VXBS6ZD9I0FS,0.427812,1.09382,-0.0162089,0.8123,0.0372123,2.31605
3YHH42UU5BF9OM6EOIYV65BJAO60L1,0.195594,1.13873,0.0873215,0.409009,-0.734017,0.986612
3MHW492WW0D9N5PFRRNZRBGY4P2VMJ,0.254036,0.281488,-0.104223,0.158795,0.177939,1.90714
3GFK2QRXX9HOUN4EP2B9WBOQPKF5WC,0.338373,0.797314,0.405648,0.698235,-0.23165,2.34301
3UN61F00HWPJMRNSQ8139CG9XA4R59,0.555372,0.516879,0.299784,-0.230419,0.382423,0.728959
3018Q3ZVOIQGSXZ9L4SKHNWVPJAART,0.526708,0.470113,-0.0341476,-0.0125466,-0.131689,0.481547
3E7TUJ2EGCM8M46ZBXJ0G34741DD9P,0.310738,1.4933,0.485218,0.195726,0.0732159,2.54304
3HVVDCPGTESU4UA45ZBVKOFKGV1TYQ,0.122013,-0.21829,0.00797704,0.937152,-0.496714,1.79033
30LSNF239UVEUV1MI25WXDC6P1A2IO,0.376642,1.26528,0.0568026,0.511026,-0.33113,2.10565
3C44YUNSI1PTERM6SMFX2T4M9OEDP5,0.61977,0.506029,0.171319,0.776968,-0.141593,2.34262
3A1COHJ8NJVPKFSRS1WC7SOUCNP8H5,0.24513,0.292109,-0.113755,0.921957,0.315516,1.75245
3WQQ9FUS6AUFT2P5S9MGLHLWGBXB86,0.238329,1.49591,-0.233406,0.404329,-0.479567,1.8182
3NAPMVF0ZWFH5BKQZB1Z6OMXBLQ27K,0.317486,0.805647,0.252868,0.62504,-1.07879,2.48292
32ZKVD547FNTS5JZGSRKU0DL1N1B37,0.345548,0.960222,-0.015198,0.617763,0.661267,1.99559
3ERMJ6L4DYS7CFOJ9TKJLX0VI7E7MM,0.0840105,-0.452919,0.160523,0.895359,-0.667364,1.29886
3EO896NRAWV495F5JZASA10W3AKTJQ,0.511341,1.11139,-0.234645,1.19716,-0.234314,2.13938
3VE8AYVF8MX56J1LXB8C47CHV9DF8G,0.391836,0.0956084,0.382375,1.21175,0.448362,2.23564
3PMBY0YE273YHC0LB1OPWXMPJJ59CP,0.167062,-0.0432805,0.262247,0.528754,-0.0762507,1.61437
3L4PIM1GQTGHOFXC1A60K9E2STMRYV,0.253686,0.46247,0.190693,1.14481,0.113247,1.74038
3R3YRB5GRF388PRQPYNPMYJFVKCUAI,0.20405,0.155658,0.388499,0.519589,-0.818976,1.6469
3F6HPJW4JD0WVQLR7J9BY4LE5FZ2WT,0.241648,0.658357,-0.0190906,0.742308,-0.426831,1.35614
3ZPBJO59KP111AOI997STK2VND4HD0,0.305701,0.727099,0.170081,0.845018,0.318713,1.99898
3YGXWBAF70HXK6U9U6SYFPB9W4XC4R,0.467579,0.477201,0.42484,0.604731,-0.0986071,2.33941
34T446B1C0EGLIC8B55W3MLWGWMC0P,0.189964,1.37104,0.174555,0.691288,0.906702,1.32224
3ZSY5X72NXB5U1TAVNX2IIG0EJWROT,0.214015,0.647811,0.273897,0.502521,0.748178,1.5249
33F859I566D8MDQYVDGMYUEVKSZHB0,0.501392,0.370975,0.0971794,1.37455,-0.507407,1.6604
31JLPPHS2UUDBZ88KXW60KDK8RZO3D,0.506659,0.464323,0.394915,0.757512,-0.846454,2.28717
